Indian Red,0.8039215686,0.3607843137,0.3607843137
LightCoral,0.9411764706,0.5019607843,0.5019607843
Salmon,0.9803921569,0.5019607843,0.4470588235
DarkSalmon,0.9137254902,0.5882352941,0.4784313725
LightSalmon,1,0.6274509804,0.4784313725
Crimson,0.862745098,0.07843137255,0.2352941176
Red,1,0,0
FireBrick,0.6980392157,0.1333333333,0.1333333333
DarkRed,0.5450980392,0,0
Pink,1,0.7529411765,0.7960784314
LightPink,1,0.7137254902,0.7568627451
HotPink,1,0.4117647059,0.7058823529
DeepPink,1,0.07843137255,0.5764705882
MediumVioletRed,0.7803921569,0.08235294118,0.5215686275
PaleVioletRed,0.8588235294,0.4392156863,0.5764705882
Coral,1,0.4980392157,0.3137254902
Tomato,1,0.3882352941,0.2784313725
OrangeRed,1,0.2705882353,0
DarkOrange,1,0.5490196078,0
Orange,1,0.6470588235,0
Goldenrod,1,0.8431372549,0
Yellow,1,1,0
LightYellow,1,1,0.8784313725
LemonChiffon,1,0.9803921569,0.8039215686
LightGoldenrodYellow,0.9803921569,0.9803921569,0.8235294118
PapayaWhip,1,0.937254902,0.8352941176
Moccasin,1,0.8941176471,0.7098039216
PeachPuff,1,0.8549019608,0.7254901961
PaleGoldenrod,0.9333333333,0.9098039216,0.6666666667
Khaki,0.9411764706,0.9019607843,0.5490196078
DarkKhaki,0.7411764706,0.7176470588,0.4196078431
Lavender,0.9019607843,0.9019607843,0.9803921569
Thistle,0.8470588235,0.7490196078,0.8470588235
Plum,0.8666666667,0.6274509804,0.8666666667
Violet,0.9333333333,0.5098039216,0.9333333333
Orchid,0.8549019608,0.4392156863,0.8392156863
Fuchsia,1,0,1
Magenta,1,0,1
MediumOrchid,0.7294117647,0.3333333333,0.8274509804
MediumPurple,0.5764705882,0.4392156863,0.8588235294
RebeccaPurple,0.4,0.2,0.6
BlueViolet,0.5411764706,0.168627451,0.8862745098
DarkViolet,0.5803921569,0,0.8274509804
DarkOrchid,0.6,0.1960784314,0.8
DarkMagenta,0.5450980392,0,0.5450980392
Purple,0.5019607843,0,0.5019607843
Indigo,0.2941176471,0,0.5098039216
SlateBlue,0.4156862745,0.3529411765,0.8039215686
DarkSlateBlue,0.2823529412,0.2392156863,0.5450980392
MediumSlateBlue,0.4823529412,0.4078431373,0.9333333333
GreenYellow,0.6784313725,1,0.1843137255
Chartreuse,0.4980392157,1,0
LawnGreen,0.4862745098,0.9882352941,0
Lime,0,1,0
LimeGreen,0.1960784314,0.8039215686,0.1960784314
PaleGreen,0.5960784314,0.9843137255,0.5960784314
LightGreen,0.5647058824,0.9333333333,0.5647058824
MediumSpringGreen,0,0.9803921569,0.6039215686
SpringGreen,0,1,0.4980392157
MediumSeaGreen,0.2352941176,0.7019607843,0.4431372549
SeaGreen,0.1803921569,0.5450980392,0.3411764706
ForestGreen,0.1333333333,0.5450980392,0.1333333333
Green,0,0.5019607843,0
DarkGreen,0,0.3921568627,0
YellowGreen,0.6039215686,0.8039215686,0.1960784314
OliveDrab,0.4196078431,0.5568627451,0.137254902
Olive,0.5019607843,0.5019607843,0
DarkOliveGreen,0.3333333333,0.4196078431,0.1843137255
MediumAquamarine,0.4,0.8039215686,0.6666666667
DarkSeaGreen,0.5607843137,0.737254902,0.5450980392
LightSeaGreen,0.1254901961,0.6980392157,0.6666666667
DarkCyan,0,0.5450980392,0.5450980392
Teal,0,0.5019607843,0.5019607843
Aqua,0,1,1
Cyan,0,1,1
LightCyan,0.8784313725,1,1
PaleTurquoise,0.6862745098,0.9333333333,0.9333333333
Aquamarine,0.4980392157,1,0.831372549
Turquoise,0.2509803922,0.8784313725,0.8156862745
MediumTurquoise,0.2823529412,0.8196078431,0.8
DarkTurquoise,0,0.8078431373,0.8196078431
CadetBlue,0.3725490196,0.6196078431,0.6274509804
SteelBlue,0.2745098039,0.5098039216,0.7058823529
LightSteelBlue,0.6901960784,0.768627451,0.8705882353
PowderBlue,0.6901960784,0.8784313725,0.9019607843
LightBlue,0.6784313725,0.8470588235,0.9019607843
SkyBlue,0.5294117647,0.8078431373,0.9215686275
LightSkyBlue,0.5294117647,0.8078431373,0.9803921569
DeepSkyBlue,0,0.7490196078,1
DodgerBlue,0.1176470588,0.5647058824,1
CornflowerBlue,0.3921568627,0.5843137255,0.9294117647
RoyalBlue,0.2549019608,0.4117647059,0.8823529412
Blue,0,0,1
MediumBlue,0,0,0.8039215686
DarkBlue,0,0,0.5450980392
Navy,0,0,0.5019607843
MidnightBlue,0.09803921569,0.09803921569,0.4392156863
Cornsilk,1,0.9725490196,0.862745098
BlanchedAlmond,1,0.9215686275,0.8039215686
Bisque,1,0.8941176471,0.768627451
NavajoWhite,1,0.8705882353,0.6784313725
Wheat,0.9607843137,0.8705882353,0.7019607843
BurlyWood,0.8705882353,0.7215686275,0.5294117647
Tan,0.8235294118,0.7058823529,0.5490196078
RosyBrown,0.737254902,0.5607843137,0.5607843137
SandyBrown,0.9568627451,0.6431372549,0.3764705882
Goldenrod,0.8549019608,0.6470588235,0.1254901961
DarkGoldenrod,0.7215686275,0.5254901961,0.0431372549
Peru,0.8039215686,0.5215686275,0.2470588235
Chocolate,0.8235294118,0.4117647059,0.1176470588
SaddleBrown,0.5450980392,0.2705882353,0.07450980392
Sienna,0.6274509804,0.3215686275,0.1764705882
Brown,0.6470588235,0.1647058824,0.1647058824
Maroon,0.5019607843,0,0
White,1,1,1
Snow,1,0.9803921569,0.9803921569
HoneyDew,0.9411764706,1,0.9411764706
MintCream,0.9607843137,1,0.9803921569
Azure,0.9411764706,1,1
AliceBlue,0.9411764706,0.9725490196,1
GhostWhite,0.9725490196,0.9725490196,1
WhiteSmoke,0.9607843137,0.9607843137,0.9607843137
SeaShell,1,0.9607843137,0.9333333333
Beige,0.9607843137,0.9607843137,0.862745098
OldLace,0.9921568627,0.9607843137,0.9019607843
FloralWhite,1,0.9803921569,0.9411764706
Ivory,1,1,0.9411764706
AntiqueWhite,0.9803921569,0.9215686275,0.8431372549
Linen,0.9803921569,0.9411764706,0.9019607843
LavenderBlush,1,0.9411764706,0.9607843137
MistyRose,1,0.8941176471,0.8823529412
Gainsboro,0.862745098,0.862745098,0.862745098
LightGray,0.8274509804,0.8274509804,0.8274509804
Silver,0.7529411765,0.7529411765,0.7529411765
DarkGray,0.662745098,0.662745098,0.662745098
Gray,0.5019607843,0.5019607843,0.5019607843
DimGray,0.4117647059,0.4117647059,0.4117647059
LightSlateGray,0.4666666667,0.5333333333,0.6
SlateGray,0.4392156863,0.5019607843,0.5647058824
DarkSlateGray,0.1843137255,0.3098039216,0.3098039216
